ID,name,playMethod,playedDay,playedEver,playedWeek,skipped
0, 'Di Na Mababawi.wav,2.1,0,1,0,0.0
1, 'Pag-Undress Na 'Ko (Remix).wav,1.1,0,1,0,0.0
2, 'Till.wav,1.1,0,1,0,0.0
3, 'Wag Na 'Wag (ft. Vina Morales).wav,1.1,0,1,0,0.0
4, 04.wav,1.1,0,1,0,0.0
5, 10.wav,1.1,0,1,0,0.0
6, 14.wav,1.1,0,1,0,0.0
7, 2 Na.wav,1.1,0,1,0,0.0
8, 2 Step Marv.wav,1.1,0,1,0,0.0
9, 20 Fingers Putang Ina Mo.wav,1.1,0,1,0,0.0
10, 21 & Counting.wav,1.1,0,1,0,0.0
11, 214.wav,1.1,0,1,0,0.0
12, 22.wav,1.1,0,1,0,0.0
13, 24 Hours.wav,1.1,0,1,0,0.0
14, 2nd Floor.wav,1.1,0,1,0,0.0
15, 4 Years,1.1,0,1,0,0.0
16, 8 Pa.wav,1.1,0,1,0,0.0
17, A Break in a Prayer.wav,1.1,0,1,0,0.0
18, A City Of Sleeping Hearts.wav,1.1,0,1,0,0.0
19, A Habit Of Rest Brings Nothing.wav,1.1,0,1,0,0.0
20, A Mass For The End Of Time.wav,1.1,0,1,0,0.0
21, A New Tattoo.wav,1.1,0,1,0,0.0
22, A Perfect Christmas.wav,1.1,0,1,0,0.0
23, A Promise.wav,1.1,0,1,0,0.0
24, Abot Kamay (Sunsilk Theme).wav,1.1,0,1,0,0.0
25, Abot Langit.wav,1.1,0,1,0,0.0
26, Across The Universe.wav,1.1,0,1,0,0.0
27, Adamant.wav,1.1,0,1,0,0.0
28, Afraid For Love To Fade.wav,1.1,0,1,0,0.0
29, Agent Orange  (Studio Version).wav,1.1,0,1,0,0.0
30, Agent Orange (Acoustic).wav,1.1,0,1,0,0.0
31, AIDS.wav,1.1,0,1,0,0.0
32, Akala.wav,1.1,0,1,0,0.0
33, Akap.wav,1.1,0,1,0,0.0
34, Akin Ka Na Lang.wav,1.1,0,1,0,0.0
35, Ako'y Iyo Ika'y Akin.wav,1.1,0,1,0,0.0
36, Alaala Ni Batman.wav,1.1,0,1,0,0.0
37, Alab Ng Puso.wav,1.1,0,1,0,0.0
38, Alam Kong Di Ako,1.1,0,1,0,0.0
39, Alam Mo Na Yun.wav,1.1,0,1,0,0.0
40, Alapaap.wav,1.1,0,1,0,0.0
41, Alay Sa Mga Nagkamalay Noong Dekada Nobenta.wav,1.1,0,1,0,0.0
42, Ale.wav,1.1,0,1,0,0.0
43, Alert The Armory.wav,1.1,0,1,0,0.0
44, Alipin.wav,1.1,0,1,0,0.0
45, Alive.wav,1.1,0,1,0,0.0
46, All I Need.wav,1.1,0,1,0,0.0
47, All I Want.wav,1.1,0,1,0,0.0
48, All of My Life.wav,1.1,0,1,0,0.0
